geonames_id,osm_id,wikipedia_id,woe_id,name,iso,is_megacity,latitude,longitude
5836068,151745738,140077,2478920,"Rawlins, Wyoming, United States of America",USA,0,41.7906648957,-107.234292035
5823516,151866897,140080,2393261,"Douglas, Wyoming, United States of America",USA,0,42.756471577,-105.384534141
5836665,151855725,140103,2482337,"Riverton, Wyoming, United States of America",USA,0,43.0281604198,-108.395048057
5840846,151664043,140117,2505590,"Thermopolis, Wyoming, United States of America",USA,0,43.6459780061,-108.21467147
5826027,151636879,19988292,2410267,"Gillette, Wyoming, United States of America",USA,0,44.2831742544,-105.505250287
5830062,151366711,140050,2436544,"Laramie, Wyoming, United States of America",USA,0,41.3113659862,-105.590568076
4125388,151486425,107007,2468214,"Paragould, Arkansas, United States of America",USA,0,36.0570872183,-90.5028843605
4116834,151482119,106925,2429863,"Jonesboro, Arkansas, United States of America",USA,0,35.8425783478,-90.7041640643
4133367,0,107129,55862590,"Texarkana, Arkansas, United States of America",USA,0,33.442104715,-94.0374748146
4126226,151915999,107057,2471945,"Pine Bluff, Arkansas, United States of America",USA,0,34.2286975291,-92.0030511899
4115412,151709054,106991,2424656,"Hot Springs, Arkansas, United States of America",USA,0,34.5039520457,-93.0550024839
4111410,151954093,107254,2405956,"Fort Smith, Arkansas, United States of America",USA,0,35.3862237742,-94.3983571795
4110486,151565423,107293,2402731,"Fayetteville, Arkansas, United States of America",USA,0,36.0629783315,-94.1572091082
4106458,151834410,106968,2384406,"Conway, Arkansas, United States of America",USA,0,35.0912805369,-92.4513184018
4109785,151721561,107282,2397766,"El Dorado, Arkansas, United States of America",USA,0,33.2139274282,-92.6625199806
4119403,151470742,18520327,2440351,"Little Rock, Arkansas, United States of America",USA,0,34.7360825796,-92.3310931821
4862034,151774897,113933,2427422,"Iowa City, Iowa, United States of America",USA,0,41.6610862417,-91.5299792905
4870380,0,114296,2466854,"Ottumwa, Iowa, United States of America",USA,0,41.0128829133,-92.4148090024
4853423,151761785,8599,2389559,"Davenport, Iowa, United States of America",USA,0,41.5539868358,-90.5875303566
